Cirrus|2019|5|385|999,900
Mooney|2004|4|1185|310,000
Cessna 182T|2008|4|3772|329,000
V35K V Tail Bonanza|1965|6|4890|117,500
Beechcraft|2009|6|562|710,000
Cessna Turbo T206H Stationair|2005|6|1364|415,000
Rockwell Commander|1976|4|2963|83,995
Piper|1969|4|11226|36,995
Piper|1995|4|322|218,500
Robin|1988|4|3485|114,995
Robin|1969|4|5257|29,950
Pitts|1974|1|986|42,850
Pitts|1984|1|1197|62,995
Cessna U206G Station Air|1979|6|5917|225,000
Cessna|1978|2|17240|65,000
Piper|1969|4|3943|53,900
Mooney|1989|4|1272|185,000
Piper|2002|4|1205|199,950
Beechcraft|1984|6|2350|299,950
Piper|1971|4|0|45,000
Cirrus|2009|4|500|585,000
Cirrus|2003|4|2240|289,000
Cirrus|2004|4|2500|315,000
Cirrus|2005|4|2695|489,000
Cirrus|2008|4|1625|499,000
Cirrus|2012|5|1925|695,000
Cirrus|2013|4|975|729,000
Cirrus|2013|4|706|659,000
Cirrus|2014|4|1030|399,000
Cirrus|2014|4|405|749,000
Cirrus|2015|4|774|774,900
Cirrus|2016|4|835|789,000
Cirrus|2017|4|1260|869,900
Cirrus|2017|4|850|829,000
Cirrus|2018|4|720|869,000
Cirrus|2018|4|615|849,000
Cirrus|2019|4|1375|649,900
Cirrus|2019|4|560|899,000
Cirrus|2019|4|480|989,000
Cirrus|2019|4|225|999,000
Cirrus|2020|4|360|749,000
Cirrus|2021|4|40|749,000
Cirrus|2021|4|398|1,175,000
Cirrus|2021|4|120|1,195,000
Cirrus|2022|4|94|1,299,000
Cirrus|2022|4|100|1,295,000
Cessna 182T|2020|4|245|699,500
Piper|0|4|2600|105,000
Piper|0|6|3660|139,995
Aeronca|1946|2|3973|29,900
A185F Skywagon II|1975|6|1834|319,000
Maule|2007|4|303|185,000
Cessna A185E|1968|4|1780|375,000
Cessna 400|2004|4|721|349,995
Piper|1977|4|5540|79,995
Diamond|2007|4|685|376,500
Cessna 400|2005|4|185|379,000
Cirrus|2001|4|3440|275,000
Cirrus|2006|4|2115|249,000
Cirrus|2010|4|1566|649,000
Cirrus|2011|4|1570|574,500
Cirrus|2012|5|1751|675,000
Cirrus|2012|5|735|649,000
Cirrus|2014|5|1900|749,000
Cirrus|2016|5|600|809,000
Cirrus|2016|5|1535|705,000
Cirrus|2017|5|408|675,000
Cirrus|2017|5|525|915,000
Cirrus|2017|5|790|925,000
Cirrus|2017|5|740|899,000
Cirrus|2017|5|1550|729,000
Cirrus|2018|5|975|875,000
Cirrus|2018|5|192|945,000
Airplane (Single Engine Piston)|2019|5|1375|649,900
Cirrus|2018|5|900|865,000
Cirrus|2019|5|771|999,999
